x	y	z
0.382166422	0.753946059	0
0.382166192	0.753946165	0
0.382165999	0.753946029	0
0.382165961	0.753945799	0
0.382165871	0.753945874	0
0.382165692	0.753945528	0
0.382165229	0.753944619	0
0.382165648	0.753944681	0.7
0.382166574	0.753946325	0.3
0.382167151	0.753946369	0.3
0.382168025	0.753945538	0.3
0.38216839	0.753945915	0.3
0.382169206	0.753946755	0.3
0.382169517	0.753946784	0.7
0.382169689	0.753947011	1
0.382169965	0.753947033	1.3
0.382170527	0.753946794	1.6
0.382171018	0.753946496	2.3
0.382171192	0.753946744	3
0.382171139	0.753946544	3.3
0.38217038	0.753946529	3.9
0.382170707	0.75394683	4.9
0.382171246	0.753946629	5.6
0.382171453	0.753946239	6.2
0.382171907	0.753946453	6.9
0.382171932	0.753945983	7.5
0.382171781	0.753945207	7.9
0.382170429	0.753945472	8.5
0.382171032	0.753945078	8.9
0.382171081	0.753945145	8.9
0.382172098	0.753944787	8.9
0.382171531	0.75394424	8.9
0.382171132	0.753944407	8.9
0.382170419	0.753944862	8.9
0.382171582	0.75394515	8.9
0.382172162	0.753944752	8.9
0.382170423	0.753942954	8.9
0.382166597	0.753937554	8.9
0.382162451	0.753931112	8.9
0.382157709	0.753923183	10.8
0.382150643	0.753910933	16.1
0.382144056	0.753898133	20
0.382139921	0.753885478	23.3
0.382137	0.75387731	28.2
0.382136711	0.753873939	33.5
0.38213381	0.753879135	35.1
0.382134041	0.753878955	35.1
0.382134175	0.753881568	35.4
0.382134715	0.753881317	35.8
0.382134065	0.753881052	36.7
0.382133983	0.753882051	38.1
0.382136507	0.753882646	39.4
0.382136666	0.753882669	40.4
0.382137466	0.753883783	41
0.382139219	0.753884463	41.3
0.38213986	0.753884808	41.7
0.382140735	0.753885735	41.3
0.38214134	0.753886419	41.3
0.382141425	0.753887106	41
0.382141507	0.753887988	41
0.382141635	0.753888319	41
0.38214176	0.753888813	40.4
0.382142026	0.753889513	40.4
0.38214225	0.753890275	40.4
0.382142712	0.753890583	40.4
0.382143252	0.753890943	40.4
0.382143508	0.753891283	40.4
0.382143219	0.753891627	40.4
0.382143068	0.753891834	40.4
0.382142858	0.75389191	40.4
0.382142627	0.753891996	40.7
0.382142075	0.75389201	40.7
0.382141766	0.753892642	40.7
0.382141138	0.753893165	40.7
0.382140715	0.75389336	40.4
0.382140105	0.753893788	40.4
0.382139365	0.753894098	40.7
0.382138929	0.753894701	40.7
0.382138235	0.753895066	40.7
0.382137906	0.753895596	40.4
0.382137382	0.753896268	40.4
0.382137438	0.753896732	40.4
0.382137148	0.753897275	40.4
0.382137093	0.753897779	40.4
0.382137193	0.75389862	40.4
0.382137016	0.753899037	40.7
0.382137051	0.753899581	40.4
0.382137223	0.753900253	40.7
0.382137182	0.753900856	41
0.382137271	0.75390158	41.7
0.38213688	0.753901908	42
0.382136449	0.753902088	42.3
0.382136168	0.753902374	43
0.382136131	0.753902775	43
0.382135744	0.753903069	43
0.382135201	0.753903787	43.3
0.382134749	0.753904211	43.3
0.382134282	0.753904648	43
0.382133897	0.753904718	43
0.38213354	0.753905623	42.7
0.382132916	0.753906231	42.7
0.38213259	0.753906305	42.7
0.382131975	0.753906497	42.7
0.382131582	0.753906738	42.7
0.382131546	0.753907011	42.7
0.382131003	0.753906686	42.7
0.382130804	0.753906576	42.7
0.382130819	0.75390699	42.7
0.382130713	0.753907146	43
0.382130558	0.753907065	43
0.382130797	0.753906727	42.7
0.382130864	0.753906264	42
0.382131108	0.753906081	42.7
0.382131176	0.75390612	42.3
0.382131121	0.753905919	42.7
0.382131175	0.753905711	42.7
0.382131077	0.753905449	42.7
0.382131077	0.753905431	42.3
0.382130894	0.753904876	42.3
0.382131045	0.753905136	42.3
0.382130717	0.753905018	42.3
0.382130447	0.75390525	42.7
0.382130483	0.75390553	42.7
0.382130482	0.753905791	42.3
0.382130281	0.753905683	42.7
0.382130565	0.753905795	42.7
0.3821307	0.753905857	42.3
0.382130665	0.753905695	42.7
0.382131018	0.753905258	42.7
0.382131553	0.753905372	42.3
0.382131428	0.753905364	42.3
0.382131475	0.753905184	42.3
0.382131654	0.753904714	42.3
0.38213161	0.753904955	42.3
0.382131638	0.753904724	42
0.382131805	0.753904882	42.3
0.38213186	0.753904964	42.3
0.382131882	0.753904434	42.3
0.382132298	0.753904345	42.3
0.382132585	0.753904656	42.3
0.38213267	0.753904589	42.3
0.382132899	0.753904303	42.3
0.382133409	0.753904716	42.3
0.382133776	0.753904704	42.3
0.382133801	0.75390451	42.7
0.382134212	0.753904773	42.7
0.382134105	0.753904977	42.7
0.382134167	0.753905043	42.7
0.382134239	0.753905109	42.3
0.382135404	0.753906974	42.3
0.382135747	0.753908739	42.3
0.382135398	0.753908306	42.3
0.382134892	0.753907001	42.3
0.382133956	0.753903777	42.3
0.382134032	0.753903183	42.3
0.382133631	0.753903629	42.3
0.382133394	0.753903562	42.7
0.382133352	0.753903718	43
0.382133263	0.753903723	42.7
0.382133675	0.753904018	42.7
0.382134429	0.753904353	43
0.382134707	0.75390438	42.7
0.382135091	0.753904677	43
0.382135649	0.753904717	42.7
0.382136024	0.753904767	42.7
0.382136161	0.753904804	42.7
0.38213615	0.753904799	42.7
0.382136133	0.753905372	42.7
0.382136381	0.753905744	42.7
0.382136374	0.753906092	42.7
0.382136585	0.753906437	42.7
0.382136924	0.753906581	42.3
0.382137417	0.753906627	42.7
0.382137624	0.75390657	42.7
0.382137781	0.75390635	42.3
0.382138234	0.753906224	42.7
