x,y,z
3821664733041,75394602,0
3821664630710,75394602,0
3821664662758,75394606,0
3821665096575,75394606,0
3821664641718,75394606,0
3821664223925,75394606,0
3821664103289,75394610,0
3821663596908,75394616,0
3821663082776,75394617,0
3821662572226,75394617,0
3821661924497,75394617,0
3821660385161,75394608,0
3821660255081,75394608,0
3821659818658,75394607,0
3821659493230,75394606,0
3821659987300,75394603,0
3821660411086,75394600,0
3821660026122,75394594,0
3821659672684,75394589,0
3821659610412,75394581,0
3821659610282,75394580,0
3821659705904,75394580,0
3821659771628,75394580,0
3821659232613,75394587,0
3821658823483,75394587,0
3821658707603,75394587,0
3821658556744,75394587,0
3821657698228,75394575,0
3821657200771,75394568,0
3821657089711,75394561,0
3821656919897,75394553,0
3821656268650,75394545,0
3821655492143,75394535,0
3821654400369,75394516,0
3821653149593,75394491,0
3821652285671,75394462,0
3821651745354,75394446,0
3821651109218,75394432,0
3821650715265,75394425,0
3821652105565,75394434,0
3821656482562,75394468,1
3821657964642,75394494,1
3821659371748,75394520,1
3821660548266,75394546,0
3821664668946,75394616,0
3821665739420,75394632,0
3821666858291,75394647,0
3821667548230,75394654,0
3821667357572,75394645,0
3821669497217,75394641,0
3821671513850,75394637,0
3821673234952,75394629,0
3821674834768,75394622,0
3821677453990,75394558,0
3821678941476,75394552,0
3821680249670,75394554,0
3821681317538,75394556,0
3821681797376,75394567,0
3821682625830,75394572,0
3821683175267,75394582,0
3821683904289,75394592,0
3821685228084,75394623,0
3821686575100,75394640,0
3821687783927,75394655,0
3821690613316,75394671,0
3821692055889,75394675,0
3821692743906,75394678,0
3821693313211,75394679,0
3821694195795,75394680,0
3821694904135,75394669,1
3821695171819,75394678,1
3821695349840,75394688,1
3821695979983,75394691,1
3821696050104,75394692,1
3821696478840,75394696,1
3821696889339,75394701,1
3821697310878,75394706,1
3821697045050,75394709,1
3821697786481,75394707,1
3821698611581,75394704,1
3821699646359,75394703,1
3821700946933,75394697,1
3821701911427,75394690,1
3821702822346,75394683,1
3821704056023,75394681,2
3821705266511,75394679,2
3821705237427,75394661,2
3821705716775,75394659,2
3821706386945,75394658,2
3821706895020,75394657,2
3821710175227,75394650,2
3821711659651,75394650,2
3821711647862,75394653,2
3821711661573,75394655,3
3821711159687,75394671,3
3821711917532,75394674,3
3821712179516,75394676,3
3821712395610,75394676,3
3821711715312,75394658,3
3821712014489,75394651,3
3821711386692,75394654,3
3821710724045,75394658,3
3821709167937,75394657,4
3821704006453,75394659,4
3821703896338,75394655,4
3821703801562,75394653,4
3821703492158,75394662,4
3821704202192,75394679,4
3821704983324,75394680,4
3821705640564,75394681,5
3821707071250,75394683,5
3821711598064,75394687,5
3821712332231,75394681,5
3821712988234,75394675,5
3821712779174,75394668,5
3821712457394,75394663,5
3821710560354,75394666,6
3821708954383,75394667,6
3821710266518,75394656,6
3821711446488,75394646,6
3821714528644,75394624,6
3821715469657,75394618,6
3821716084590,75394621,6
3821716693107,75394623,7
3821718139425,75394645,7
3821719069039,75394645,7
3821719990315,75394655,7
3821720688657,75394662,7
3821718078685,75394632,7
3821717660207,75394616,7
3821719322816,75394598,7
3821720912991,75394582,8
3821721932462,75394531,8
